lat,lon,bhk,rate per sqft,area per sqft,price,property name,location,nearby school,nearby hospital,nearby bank,nearby public transport,nearby railway station,price source,matched map name,matched from,match method,property type
23.0107147,72.4429208,3,7940,931,0.7392,sun skyview,shela,Sanskardham School Hostel (2.55 km),Krishna Shalby Hospital (1.48 km),ATM HDFC Bank (2.80 km),Ghuma BRTS terminal (2.32 km),Gora Ghuma (3.24 km),original,Shela Lake,shela,fuzzy_name,flat
23.1360943,72.5425805,2,4333,1422,0.6162,royal crown,vaishnodevi circle,NIM Auditorium (0.90 km),KD Blossom (0.12 km),Kalupur Cooperative Commercial BANK (0.89 km),Chandkheda Bus Depo (4.77 km),Khodiyar Junction (2.28 km),original,Vaishnodevi Circle,vaishnodevi circle,exact_name,flat
23.0732586,72.6508299,3,9883,860,0.82,omnium square,omnium square,St.Xavier's High School (2.43 km),Vikas Medical and Heart Hospital (0.20 km),Indusind Bank ATM (2.80 km),Naroda Gam (0.66 km),Sardargram (0.88 km),original,Naroda,omnium square naroda,fuzzy_name,flat
23.1701591,72.526586,5,13886,4393,6.1,the storeys,adani shantigram,NIM Auditorium (5.02 km),KD Blossom (4.15 km),Kalupur Cooperative Commercial BANK (4.99 km),Chandkheda Bus Depo (8.43 km),Khodiyar Junction (2.73 km),original,The Storeys,the storeys,exact_name,flat
23.0445921,72.517344,3,11166,3000,3.35,gulmohar apartment,gulmohar apartment,Nirma Vidyavihar (0.24 km),Apex Heart Institute (0.37 km),Indian Bank (1.50 km),Thaltej Metro (0.56 km),Ambli Road (2.64 km),original,Bodakdev,posh area of bodakdev,fuzzy_name,flat
23.0774129,72.4943545,4,4736,3843,1.82,harmony harikesh,science city,Zebar School (3.21 km),Dr. Parth Amin (ENT Specialist) Mediheal Hospital (0.80 km),Indian Bank (5.31 km),Bhadaj circle BRTS (0.64 km),Ambli Road (2.66 km),original,Science City,science city,exact_name,flat
23.057541,72.5435085,4,6580,3906,2.57,veritas,veritas,Karmachari Shiksan Tirth (0.85 km),Dr. Kaushik Vaidhya Medical Nursing Home (0.17 km),canera bank (1.47 km),Parasnagar BRTS stand (0.22 km),Chandlodiya (1.96 km),original,Sola,sola,exact_name,flat
23.0485393,72.511742,4,11323,3400,3.5,deep group indraprasth 8,deep group indraprasth 8,Udgam School for Children (0.78 km),Apex Heart Institute (0.38 km),Indian Bank (1.80 km),Thaltej (0.46 km),Ambli Road (1.96 km),original,Thaltej,deep group indraprasth 8 thaltej,fuzzy_name,flat
23.0796581,72.4947377,6,4130,11090,4.58,skyzenia,science park,Zebar School (3.46 km),Dr. Parth Amin (ENT Specialist) Mediheal Hospital (0.72 km),Indian Bank (5.53 km),Bhadaj circle BRTS (0.39 km),Ambli Road (2.91 km),original,Life Science Park,science park,fuzzy_name,flat
23.1358111,72.5818846,3,3611,1845,0.6662,suhaal serenity,zundal,H3 World School (2.17 km),Devarshi Super Speciality Hospital (1.52 km),Kalupur Cooperative Commercial BANK (3.97 km),Chandkheda Bus Depo (2.31 km),Chandkheda Road (3.38 km),original,Zundal,zundal,exact_name,flat
23.1360943,72.5425805,3,11440,2376,1.35,divyajyot sarang lakeview,divyajyot sarang lake,NIM Auditorium (0.90 km),KD Blossom (0.12 km),Kalupur Cooperative Commercial BANK (0.89 km),Chandkheda Bus Depo (4.77 km),Khodiyar Junction (2.28 km),original,Vaishnodevi Circle,vaishnodevi circle,exact_name,flat
23.021803,72.4747707,3,7302,986,0.72,saanvi nirman stellar,south bopal,Cosmos Castle International School (2.70 km),Devasya Superspeciality Kidney Institute and Research Centre (0.63 km),ICICI Bank (0.47 km),Bopal Appoach BRTS (0.55 km),Gora Ghuma (3.01 km),original,South Bopal,south bopal,exact_name,flat
23.0544372,72.4720756,3,4700,1750,0.8225,shilp serene,shilaj,"Anand Niketan School, Shilaj (1.18 km)",INDU MEDICARE (1.13 km),ATM HDFC Bank (2.91 km),Bopal gam (2.41 km),Ambli Road (2.18 km),original,Shilaj,shilaj,exact_name,flat
23.0544372,72.4720756,5,6605,3785,2.5,saiyamm apricus 2,shilaj,"Anand Niketan School, Shilaj (1.18 km)",INDU MEDICARE (1.13 km),ATM HDFC Bank (2.91 km),Bopal gam (2.41 km),Ambli Road (2.18 km),original,Shilaj,shilaj,exact_name,flat
23.1283467,72.558657,3,5573,933,0.52,shikhar landmark,tragad,H3 World School (0.43 km),Nirma Health Centre (1.61 km),Kalupur Cooperative Commercial BANK (1.50 km),Chandkheda Bus Depo (2.91 km),Chandkheda Road (2.07 km),original,Tragad,tragad,exact_name,flat
23.1283467,72.558657,3,7489,948,0.71,siddharth gardenia,tragad,H3 World School (0.43 km),Nirma Health Centre (1.61 km),Kalupur Cooperative Commercial BANK (1.50 km),Chandkheda Bus Depo (2.91 km),Chandkheda Road (2.07 km),original,Tragad,tragad,exact_name,flat
23.1358111,72.5818846,3,8824,850,0.75,samarpan signor skyline,zundal,H3 World School (2.17 km),Devarshi Super Speciality Hospital (1.52 km),Kalupur Cooperative Commercial BANK (3.97 km),Chandkheda Bus Depo (2.31 km),Chandkheda Road (3.38 km),original,Zundal,zundal,exact_name,flat
23.1043633,72.5493536,3,7225,1730,1.25,savvy swaraaj sports living,savvy swaraaj sports living,St Josheph School (2.06 km),Hridaan Hospital & Pharmacy (1.14 km),Kalupur Cooperative Commercial BANK (2.71 km),Chandlodiya (2.18 km),Chandkheda Road (1.62 km),original,Savvy Swaraaj Sports Club,savvy swaraaj sports living,fuzzy_name,flat
22.9992107,72.5599564,4,20528,5615,6.98,madhav oeuvre 2,madhav oeuvre 2,amardeep high school (0.10 km),Dr Ajay Praful Munshi Surgical Nursing Home (0.23 km),HDFC Bank Paldi Branch (1.61 km),Chandranagar BRT (0.20 km),Vastrapur (4.46 km),original,madhav,madhav oeuvre 2,fuzzy_name,flat
23.0980012,72.7096941,3,9965,853,0.85,motherland magnate legend,daskroi,"Tulsi Residency, Near Sandapani School, Haridarshan Char Rasta, Naroda (4.44 km)","Gayathri Hospital, Ahmedabad (4.49 km)",Indusind Bank ATM (9.19 km),Hanspura Bus stop (3.37 km),Medra (3.45 km),original,Daskroi Branch Canal,daskroi,fuzzy_name,flat
23.1143235,72.5587865,3,5588,1700,0.95,saanvi nirman stellar,saanvi nirman stellar,H3 World School (1.51 km),Dr Yashvant Chhatbar (1.39 km),Kalupur Cooperative Commercial BANK (2.16 km),Chandkheda Bus Depo (2.50 km),Chandkheda Road (0.68 km),original,The Noble Consultancy-2 BHK | 3 BHK | 4 BHK | Office | Shop premium property,the property,fuzzy_name,flat
23.1010002,72.5408363,4,6352,2015,1.28,siddharth greenz,gota,SHAYONA SCHOOL (2.33 km),vizcare hospital (0.48 km),Kalupur Cooperative Commercial BANK (3.04 km),Chandlodiya (2.09 km),Chandlodiya 'B' (2.25 km),original,Gota,gota,exact_name,flat
22.9993547,72.6137203,3,7238,746,0.54,rhizome rivera east,rhizome rivera east,Jay Somnath High School (0.77 km),ESIS HOSPITAL (0.30 km),Indusland Bank (1.26 km),Maninagr Railway Station (0.29 km),Maninagar (0.25 km),original,Maninagar East,rhizome rivera east,fuzzy_name,flat
23.0445921,72.517344,4,16000,2475,3.96,times 104,bodakdev,Nirma Vidyavihar (0.24 km),Apex Heart Institute (0.37 km),Indian Bank (1.50 km),Thaltej Metro (0.56 km),Ambli Road (2.64 km),original,Bodakdev,bodakdev,exact_name,flat
22.9969634,72.633455,4,10000,1200,1.1,"c - 24, ami akhand anad - 1","c - 24, ami akhand anad - 1",Jay Somnath High School (1.33 km),Nadkarni's 21St Century Hospitals Pvt Ltd (0.24 km),Indusland Bank (3.20 km),Purvdeep Society (0.12 km),Maninagar (2.27 km),original,Ami Akhand Anand Society,ami akhand anad,fuzzy_name,house
23.0544372,72.4720756,3,4700,1750,0.8225,shilp serenity,shilaj,"Anand Niketan School, Shilaj (1.18 km)",INDU MEDICARE (1.13 km),ATM HDFC Bank (2.91 km),Bopal gam (2.41 km),Ambli Road (2.18 km),original,Shilaj,shilaj,exact_name,flat
23.081994,72.5519258,3,11726,1066,1.25,archway,archway,Gyanda Girls High School (1.15 km),S G Hospital Chandlodiya (0.33 km),canera bank (3.30 km),Chandlodiya (0.32 km),Chandlodiya (1.11 km),original,Jagatpur Road,jagatpur,fuzzy_name,flat
23.0232163,72.4708784,4,14727,2105,3.1,satyamev luxor,"inbopal, ahmedabad","DPS - Delhi Public School, Bopal (2.49 km)",Navkaar Hospital (0.75 km),Union Bank of India (0.73 km),Bopal Appoach BRTS (0.77 km),Gora Ghuma (2.61 km),original,South Bopal,bopal,fuzzy_name,flat
23.3254747,72.0554467,3,5592,1663,0.93,gini lake gardenz,gini lake gardenz,Raval School (45.34 km),Genearl Eye Hospital (21.73 km),axis bank (39.60 km),Viramgam bus stop (21.83 km),Bhankoda (9.64 km),original,Lake,gini lake gardenz,fuzzy_name,flat
23.0787426,72.6681866,2,12418,765,0.95,sujata flats,sujata flats,"Tulsi Residency, Near Sandapani School, Haridarshan Char Rasta, Naroda (1.25 km)",Gitanjali Children Hospital (1.04 km),Indusind Bank ATM (4.59 km),Naroda Gam Bus Station (1.28 km),Naroda (1.27 km),original,amardeep flats,sujata flats,fuzzy_name,flat
23.0232163,72.4708784,3,9121,899,0.82,samanvay scintilla,"insouth bopal, ahmedabad","DPS - Delhi Public School, Bopal (2.49 km)",Navkaar Hospital (0.75 km),Union Bank of India (0.73 km),Bopal Appoach BRTS (0.77 km),Gora Ghuma (2.61 km),original,South Bopal,insouth bopal,fuzzy_name,flat
23.1201139,72.6251307,4,5555,2340,1.3,shree balaji agora residency,shree balaji agora residency,Premsurishwarji Jain Sanskrit Pathshala (1.25 km),Apollo Hospitals International Limited (1.09 km),Indusind Bank ATM (5.04 km),Narmada Canal (0.64 km),Naroda (5.12 km),original,Shree Balaji Agora Residency,shree balaji agora residency,exact_name,flat
