area_sqft,bhk,property_type,lat,lon,price_inr
2248,3,Apartment,23.0631171,72.5255748,12500000.0
1386,2,Villa,23.0485393,72.511742,22500000.0
1989,3,Apartment,23.1010002,72.5408363,9600000.0
1440,3,Apartment,23.0232163,72.4708784,7000000.0
3291,4,Apartment,23.0107147,72.4429208,18100000.0
1100,2,Apartment,23.1109557,72.5539974,5400000.0
1725,3,Apartment,23.0107147,72.4429208,11500000.0
3060,3,Apartment,23.0366663,72.5492165,10000000.0
3774,4,Villa,23.0687402,72.6734956,43000000.0
1296,2,Apartment,23.0687402,72.6734956,5000000.0
1755,3,Apartment,23.1358111,72.5818846,8300000.0
1485,3,Apartment,23.1378296,72.5334863,6200000.0
1936,3,Apartment,23.081994,72.5519258,13000000.0
1125,2,Apartment,23.0839289,72.6785883,4500000.0
1620,3,Apartment,23.0215374,72.5800568,8000000.0
3291,4,Apartment,23.0107147,72.4429208,22000000.0
1130,5,Villa,23.021803,72.4747707,15000000.0
1100,2,Apartment,23.1109557,72.5539974,5200000.0
4341,4,Apartment,23.0445921,72.517344,37000000.0
1440,3,Apartment,23.0295113,72.4506006,7000000.0
1510,3,Apartment,23.0366663,72.5492165,8000000.0
850,2,Apartment,23.0366663,72.5492165,6100000.0
3024,4,Apartment,23.096244,72.4657337,20000000.0
2070,3,Apartment,23.0227526,72.5383118,19000000.0
750,2,Apartment,23.0111491,72.5132562,6700000.0
3402,3,Villa,23.0716125,72.6367479,28000000.0
2412,3,Apartment,23.0215374,72.5800568,16100000.000000002
3775,4,Apartment,23.0079064,72.5174367,38500000.0
2610,4,Apartment,23.0226117,72.5490834,27500000.0
1503,2,Apartment,23.0840822,72.6493157,6200000.0
2512,4,Apartment,23.0215374,72.5800568,18500000.0
2800,4,Apartment,23.0232163,72.4708784,18600000.0
1750,3,Apartment,23.0232163,72.4708784,8900000.0
3228,4,Apartment,23.0232163,72.4708784,16600000.0
2540,3,Apartment,23.0145531,72.5635432,20500000.0
2310,3,Apartment,23.0232163,72.4708784,14500000.0
3125,4,Apartment,23.0716125,72.6367479,17000000.0
6421,4,Apartment,23.087526,72.536757,46000000.0
2763,4,Villa,23.0232163,72.4708784,34100000.0
1400,4,Villa,23.0069624,72.5440056,13000000.0
1260,2,Apartment,23.107121,72.5848584,7100000.0
1914,4,Apartment,23.107121,72.5848584,23000000.0
1620,3,Apartment,23.0110669,72.5137432,8250000.0
1300,2,Apartment,23.1360943,72.5425805,6400000.0
2340,3,Apartment,23.0145531,72.5635432,16299999.999999998
1899,3,Apartment,23.107121,72.5848584,8000000.0
720,1,Apartment,22.9729765,72.5895984,2100000.0
2700,2,Apartment,23.1153559,72.5366513,10000000.0
3006,4,Apartment,23.0868734,72.4835036,20700000.0
3852,2,Apartment,23.0271267,72.5226289,45000000.0
1710,3,Villa,23.0485393,72.511742,33000000.0
1030,3,Apartment,23.107121,72.5848584,8300000.0
1980,3,Apartment,23.0000258,72.5051405,17000000.0
7695,4,Villa,23.0107147,72.4429208,90000000.0
6124,4,Apartment,23.0544372,72.4720756,55100000.0
1544,3,Apartment,23.107121,72.5848584,6899999.999999999
2118,3,Apartment,23.1010002,72.5408363,11700000.0
3265,4,Apartment,23.0967876,72.5966689,17500000.0
2250,3,Apartment,23.107121,72.5848584,14500000.0
4800,4,Villa,23.0968937,72.6135747,24000000.0
4752,5,Apartment,23.0968937,72.6135747,25500000.0
2500,3,Villa,22.99061,72.6367664,28000000.0
1755,3,Apartment,23.107121,72.5848584,8000000.0
2680,3,Apartment,23.107121,72.5848584,14000000.0
3920,4,Apartment,23.0485393,72.511742,29400000.0
1420,2,Apartment,23.1360943,72.5425805,7500000.0
990,2,Apartment,23.1360943,72.5425805,5200000.0
747,1,Apartment,23.0604301,72.6537943,3200000.0
2043,3,Apartment,23.0084483,72.5684667,16000000.0
5004,5,Apartment,23.0107147,72.4429208,75000000.0
931,3,Apartment,23.0107147,72.4429208,8000000.0
